state,enrolment_count
100000,214
Andaman & Nicobar Islands,5
Andaman And Nicobar Islands,27
Andhra Pradesh,14879
Arunachal Pradesh,2326
Assam,87389
Bihar,338842
Chandigarh,243
Chhattisgarh,20120
Dadra & Nagar Haveli,3
Dadra And Nagar Haveli,74
Dadra And Nagar Haveli And Daman And Diu,39
Daman & Diu,1
Daman And Diu,13
Delhi,24994
Goa,409
Gujarat,86333
Haryana,9973
Himachal Pradesh,828
Jammu & Kashmir,20
Jammu And Kashmir,8304
Jharkhand,57554
Karnataka,43436
Kerala,21000
Ladakh,151
Lakshadweep,11
Madhya Pradesh,124648
Maharashtra,89172
Manipur,8155
Meghalaya,88167
Mizoram,1730
Nagaland,10976
Odisha,22373
Orissa,580
Pondicherry,79
Puducherry,158
Punjab,15292
Rajasthan,115614
Sikkim,1135
Tamil Nadu,37416
Telangana,25180
The Dadra And Nagar Haveli And Daman And Diu,168
Tripura,3843
Uttar Pradesh,490904
Uttarakhand,5748
West  Bengal,6
West Bangal,3
West Bengal,98816
Westbengal,3
